x,y,y_err_lower,y_err_upper,x_err
1,2.14,0.18,0.22,0.10
2,3.47,0.25,0.31,0.10
3,5.02,0.20,0.28,0.10
4,6.83,0.33,0.27,0.10
5,8.15,0.22,0.35,0.10
6,10.41,0.30,0.40,0.10
7,12.06,0.28,0.32,0.10
8,13.89,0.35,0.25,0.10
9,15.72,0.40,0.38,0.10
10,17.44,0.27,0.33,0.10
11,19.31,0.31,0.29,0.10
12,21.05,0.38,0.42,0.10
13,22.87,0.24,0.36,0.10
14,24.60,0.32,0.28,0.10
15,26.43,0.29,0.37,0.10
16,28.21,0.36,0.31,0.10
17,30.08,0.23,0.41,0.10
18,31.85,0.34,0.26,0.10
19,33.67,0.26,0.34,0.10
20,35.50,0.30,0.30,0.10
