uniform,normal,exponential
7.7396,3.3516,0.3567
4.3888,4.188,2.1352
8.586,5.408,0.0268
6.9737,4.0575,1.2379
0.9418,4.5825,3.9822
9.7562,5.662,3.253
7.6114,4.4768,1.4712
7.8606,5.3391,0.8654
1.2811,7.3891,0.5109
4.5039,4.7422,0.3241
3.708,6.769,0.1224
9.2676,5.8391,0.7155
6.4387,2.7991,0.3281
8.2276,3.3468,2.6611
4.4341,3.7496,0.0036
2.2724,3.7177,3.3191
5.5458,4.8646,0.4898
0.6382,5.922,3.8731
8.2763,6.8827,2.4367
6.3166,5.4623,0.4125
7.5809,4.3315,2.0726
3.5453,1.8766,8.0005
9.707,5.1059,1.07
8.9312,5.0387,0.7908
7.7838,5.2744,2.4571
1.9464,8.1594,2.8777
4.6672,6.8609,1.5186
0.438,6.1776,0.12
1.5429,3.5569,0.0345
6.8305,4.2305,5.479
7.4476,4.8577,1.6367
9.6751,3.8369,0.7178
3.2583,5.7507,1.6937
3.7046,5.5354,1.5516
4.6956,3.3675,0.0605
1.8947,6.7952,0.1961
1.2992,5.1535,0.8904
4.757,2.4064,8.3065
2.2691,4.923,0.8228
6.6981,5.4218,1.9739
4.3715,6.4592,0.1282
8.3268,4.4938,0.8588
7.0027,6.2419,0.8717
3.1237,5.2807,2.4015
8.3226,3.0274,0.66
8.0476,2.8772,5.0029
3.8748,6.6838,0.2551
2.8833,6.794,4.102
6.825,5.4844,0.2531
1.3975,7.2436,3.917
1.9991,6.5849,1.2719
0.0736,6.0254,9.3792
7.8692,3.633,0.1769
6.6485,7.5971,1.9336
7.0517,5.8045,7.1103
7.8073,4.4212,1.623
4.5892,3.9976,5.5976
5.6874,5.3852,0.3006
1.398,2.4934,0.7829
1.1453,6.0495,0.6992
6.684,3.5696,1.5144
4.711,5.5559,1.0027
5.6524,4.2176,0.0604
7.65,4.6034,2.045
6.3472,3.8646,0.8781
5.5358,4.7582,5.9003
5.5921,7.8341,0.6418
3.0395,7.0776,2.7916
0.3082,5.5317,1.5276
4.3672,4.9621,4.3995
2.1458,6.2663,0.486
4.0853,6.695,0.2202
8.534,3.7553,0.322
2.3394,4.8838,0.1953
0.583,2.2671,2.0861
2.8138,6.6847,0.7434
2.9359,8.0975,3.3748
6.6192,5.1201,1.5004
5.5703,1.8125,5.4019
7.839,5.9133,0.83
6.6431,3.6439,0.5004
4.0639,4.005,2.4373
8.1402,5.9399,0.0004
1.6697,5.3818,6.8787
0.2271,4.2678,0.0327
0.9005,4.0256,1.6931
7.2236,5.1888,2.0695
4.6188,4.3858,3.4422
1.6127,3.3361,0.7124
5.0104,4.5012,1.2296
1.5231,5.5094,0.5508
